2021-01-10 17:58:25|152.361µs|404|GET|/|127.0.0.1|0 B|9 B||
2021-01-10 17:58:39|387.401µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 17:59:46|117.539µs|301|GET|/books/|127.0.0.1|0 B|41 B||
2021-01-10 17:59:46|489.383µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 17:59:50|560.683µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 17:59:51|230.118µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 17:59:52|243.243µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 17:59:52|157.425µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:00:29|313.598µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:00:30|771.358µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:00:53|1.129515ms|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:00:54|678.622µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:02:32|418.835µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:04:02|106.273µs|201|POST|/books|::1|24 B|0 B|{"title":"Bridgerton"}|
2021-01-10 18:05:11|140.342µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:05:12|170.305µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:05:13|127.678µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:06:31|391.544µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:12:56|490.382µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:13:04|487.105µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:17:22|601.309µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:17:28|679.268µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:17:28|229.224µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:17:29|237.196µs|200|GET|/books|127.0.0.1|0 B|10 B||
2021-01-10 18:19:31|400.763µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:19:47|390.334µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:23:19|502.303µs|400|POST|/books|::1|23 B|10 B|{ "title": "Bridgerton"|
2021-01-10 18:30:57|655.919µs|400|POST|/books|::1|23 B|10 B|{ "title": "Bridgerton"|
2021-01-10 18:30:59|633.306µs|400|POST|/books|::1|23 B|10 B|{ "title": "Bridgerton"|
2021-01-10 18:31:00|149.615µs|400|POST|/books|::1|23 B|10 B|{ "title": "Bridgerton"|
2021-01-10 18:31:06|176.915µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:07|142.881µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:08|479.017µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:09|556.968µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:09|279.92µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:09|735.752µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:11|888.588µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:12|194.156µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:13|432.905µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:13|167.647µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:14|215.045µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:14|894.431µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:15|212.696µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:15|263.574µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:16|210.7µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:31:16|526.043µs|201|POST|/books|::1|24 B|10 B|{"title":"Bridgerton"}|
2021-01-10 18:46:52|534.214µs|500|GET|/|127.0.0.1|0 B|157 B|error(template: header.html:8:14: executing "header.html" at <.title>: can't evaluate field title in type int)|
2021-01-10 18:47:45|127.243µs|500|GET|/|::1|0 B|157 B|error(template: header.html:8:14: executing "header.html" at <.title>: can't evaluate field title in type int)|
2021-01-10 18:48:31|630.941µs|500|GET|/|::1|0 B|157 B|error(template: header.html:8:14: executing "header.html" at <.title>: can't evaluate field title in type int)|
2021-01-10 18:48:45|335.395µs|200|GET|/|127.0.0.1|0 B|885 B||
2021-01-10 18:48:46|69.207µs|200|GET|/|127.0.0.1|0 B|885 B||
2021-01-10 18:48:50|70.37µs|200|GET|/|::1|0 B|885 B||
2021-01-10 18:48:51|56.209µs|200|GET|/|::1|0 B|885 B||
2021-01-10 18:48:53|76.349µs|200|GET|/|::1|0 B|885 B||
2021-01-10 18:48:54|62.713µs|200|GET|/|::1|0 B|885 B||
